Losing Team,Full Time Home Goals,Half  Time Home Goals,Home Shots,Home Shots on Target,Home Hit Woodwork,Home Corners,Home Fouls Committed,Home Offsides,Home Yellow Cards,Home Red Cards
Southampton,0,0,12,6,0,3,17,0,1,0
Fulham,2,1,17,9,2,4,14,1,0,0
Chelsea,2,2,13,6,0,2,14,2,2,0
Derby,0,0,10,0,0,10,17,6,1,0
Southampton,1,1,12,4,2,8,11,3,1,0
Derby,1,0,13,5,0,3,7,5,0,0
Charlton,1,0,9,5,0,3,7,7,1,0
Man United,0,0,12,3,0,11,15,0,1,0
Leicester,1,0,3,2,0,7,12,2,2,0
Bolton,0,0,15,4,0,1,10,1,0,0
Sunderland,0,0,18,8,0,15,12,3,0,0
Blackburn,2,2,10,4,0,6,18,2,2,0
Tottenham,1,1,8,6,0,5,8,1,1,0
Everton,1,1,9,4,0,2,19,3,1,0
Leicester,2,1,16,9,0,6,16,3,1,0
Leeds,0,0,13,5,0,7,14,2,2,0
Derby,0,0,9,4,1,7,13,1,0,0
Ipswich,0,0,4,2,0,7,2,2,0,0
Charlton,0,0,9,1,0,7,8,1,0,0
Everton,0,0,6,2,1,1,17,3,0,0
Leicester,0,0,6,3,0,8,16,1,4,0
Sunderland,0,0,11,4,0,5,19,1,3,0
